id,.pred_anger,.pred_fear,.pred_joy,.pred_love,.pred_sadness,.pred_surprise
35899,0.435477164,0.260174301,0.188781962,0.004657537,0.107039195,0.003869841
26471,0.430287364,0.280351651,0.188797568,0.000917302,0.099499496,0.000146619
2852,0.433185721,0.26762047,0.183521179,0.004101372,0.110699397,0.000871861
55,0.391392419,0.274375058,0.184115359,0.010268792,0.138748372,0.0011
730,0.380853938,0.270302065,0.174073768,0.013010762,0.160744228,0.00101524
27827,0.169619105,0.064161555,0.332085522,0.274235635,0.142501217,0.017396967
514,0.396936483,0.271467919,0.179945033,0.007140707,0.142690492,0.001819366
2148,0.391000721,0.293764232,0.175628484,0.004402644,0.13254519,0.00265873
2814,0.311145134,0.181497887,0.309990441,0.033614718,0.15845182,0.0053
1399,0.430116166,0.246421613,0.177810385,0.008776588,0.134558184,0.002317063
2680,0.384812758,0.282533005,0.146120037,0.015673521,0.169501949,0.00135873
120,0.678672637,0.120688668,0.09556976,0.025273165,0.078570372,0.001225397
829,0.39978589,0.277624387,0.153358765,0.007415869,0.159492866,0.002322222
31284,0.426399428,0.274275416,0.178020249,0.007150598,0.112728912,0.001425397
31552,0.285839939,0.179435102,0.377205175,0.021409802,0.132121887,0.003988095
158,0.333829283,0.141091529,0.286111956,0.025040403,0.209912147,0.004014683
996,0.384800922,0.256964975,0.171793781,0.010280503,0.175131758,0.00102806
779,0.390749928,0.204961518,0.157108717,0.007599588,0.237513301,0.002066949
1251,0.366865328,0.322392127,0.163094766,0.015611797,0.131607807,0.000428175
3206,0.461570063,0.230863842,0.204639622,0.005964237,0.093714334,0.003247902
41,0.382996084,0.27447181,0.177532128,0.008950501,0.155640464,0.000409013
110,0.430362212,0.245284962,0.17996763,0.00410788,0.139723858,0.000553457
10007,0.42394901,0.28110589,0.175124766,0.005973773,0.112396164,0.001450397
16,0.388727154,0.291189732,0.184397223,0.009659,0.125273715,0.000753175
10676,0.414559844,0.27270254,0.162844407,0.005032134,0.141403627,0.003457448
600,0.423182257,0.276539496,0.148974294,0.01039986,0.140198255,0.000705838
161,0.382580932,0.230864503,0.148902249,0.009319015,0.225995204,0.002338097
786,0.430229958,0.260578587,0.170353273,0.008097397,0.129942884,0.000797902
132,0.25489369,0.158710498,0.487268316,0.005551765,0.092601617,0.000974115
4280,0.396842482,0.237452414,0.196131884,0.013391788,0.15079226,0.005389171
7142,0.435029194,0.267443744,0.160986243,0.009909445,0.124812816,0.001818559
27761,0.456199184,0.254035063,0.17308268,0.00637236,0.109818649,0.000492063
33283,0.430287364,0.280351651,0.188797568,0.000917302,0.099499496,0.000146619
20228,0.44472868,0.261225078,0.160138827,0.005098125,0.124389448,0.004419841
36,0.42716119,0.248866957,0.182766442,0.008756333,0.130657015,0.001792063
994,0.464987162,0.225167687,0.189947095,0.006818613,0.111751269,0.001328175
27673,0.407769211,0.203379723,0.163212172,0.008767982,0.214163264,0.002707648
19942,0.33535301,0.242155329,0.251886622,0.014603987,0.155235396,0.000765657
4217,0.387300116,0.268486806,0.204258884,0.006177985,0.133078308,0.000697902
15474,0.382076167,0.320762216,0.149928805,0.005669539,0.138112508,0.003450766
2848,0.365071318,0.246993633,0.27578222,0.005695644,0.105565121,0.000892063
21765,0.352392778,0.246153214,0.278439649,0.005279488,0.117105201,0.00062967
28890,0.453737184,0.21136307,0.227318545,0.008233599,0.095764872,0.003582731
10615,0.364850789,0.242712691,0.207547691,0.023627682,0.159553699,0.001707448
8438,0.40612072,0.276053219,0.181880482,0.005522873,0.125406039,0.005016667
17396,0.443407331,0.248708413,0.176294484,0.006464579,0.122947416,0.002177778
